44041116+18316898j, -15280866+25968928j, -30990341+30546917j, 12704360+-7536642j, -37310920+44298535j, -27617617+-9117367j, -28602864+-4609270j, 18771671+-4844173j, 22633355+-13699459j, -19759328+-19034172j, 29471915+26726814j, 12133999+-13348017j, -8657382+1853612j, 32708073+4015579j, -37827176+9264006j, -25493044+8462048j, 
3878779+14237739j, -11528573+47683668j, 52186235+11474267j, -24740045+-19196951j, 8433376+35958479j, -40387653+1573710j, -39652303+-13970693j, -6366886+-9182433j, 3155279+6796490j, -34992181+-5334016j, -28035709+2774214j, -13466327+1502507j, 5021228+-14944175j, 88844+-16040885j, 13597372+29722915j, -4854435+-8302471j, 
54805258+14502672j, 33285958+54000j, 1479954+22309649j, -51628815+-29929228j, 24778131+22646020j, -30069527+-20626365j, -22832048+-6698250j, 10250115+-7179310j, -13369339+-10635169j, -20526379+-6472144j, -6101259+-6919327j, 2560451+-19690143j, -2878584+-30729441j, -53663294+20972775j, 11390163+-2106504j, 2962058+15461045j, 
-30247002+7359857j, -7348607+-43370557j, -24366020+-27498467j, 3110547+58866531j, -39497942+-64908485j, 8214111+2171561j, -18082657+-15192446j, -18897873+2002393j, -28596059+40569223j, -47434679+22008869j, 57161595+27896426j, -16631489+-5004332j, 42156223+9866252j, -25168079+36963368j, -17664164+-7077444j, -2028924+4574917j, 
-34115697+-3199908j, 3237640+33600402j, 12193962+-17993141j, 17905298+23629176j, 15839320+-9575864j, 9728496+37555319j, 10024127+34152269j, -30810410+-6851145j, -10414741+-6554222j, -30166599+-3828482j, 14204981+13139056j, 8181051+25358696j, -21651071+9574627j, -19742261+23732512j, 16360234+25207360j, 27545333+11210060j, 
14741244+-60106267j, -38287410+-13514846j, 6346193+46190752j, -26245391+-12550505j, -15782985+-11711612j, -20057993+2432195j, -24670312+25291827j, -8794794+-19964751j, -20803524+19858893j, -13048994+15952356j, -10858895+-12101740j, -62229165+-37048710j, 2796588+6916014j, -10447948+-26128788j, -14858340+27924457j, -27273810+9684526j, 
-23228776+9745207j, -30258925+-21077587j, -33992706+28229811j, 22086874+-12847860j, -49759885+-459198j, 31147491+-26565834j, -13101450+-12223870j, -22531917+19123495j, -45709711+12246791j, -40951980+-2436819j, 33544447+10614215j, -44556838+4257485j, 49496517+-6812332j, -5397407+2076828j, -3923546+57438453j, -21236769+17491851j, 
2203748+-27786203j, -98099+-28371237j, -16691068+36260177j, 6396601+-10826226j, -13388331+-9293476j, 22208994+2238302j, 28657844+5493783j, -1965346+2428950j, 25602693+20138658j, 22108630+-7009768j, 4656580+22462551j, -23133477+-14080368j, -3896069+16510519j, 11390858+-16872720j, -11060533+-19506159j, 355365+-4255389j, 
4370872+10051271j, -7715918+-505505j, -16809356+49480439j, -6779150+-12823081j, -19118732+27682183j, 1866027+-30740581j, 12940348+7719056j, 11456993+-45544996j, 27201950+36012467j, 6248990+185173j, 187621+-30586301j, 19235973+28603615j, -17535995+-4624711j, 26975934+490539j, 34143562+-19539951j, 1283078+1851944j, 
-5861934+-14227966j, -43510216+16892300j, -22881613+17197384j, 26005863+-24472749j, -11547752+-35345349j, 22328536+-2954886j, -3072241+8843394j, -14684656+26385072j, 10742819+37069819j, -9776842+-39763434j, 12698982+3860435j, 25404405+-15623405j, -2186546+-9000371j, -46507437+-31994003j, -15772030+8358242j, -15844745+34376007j, 
27741842+-42296191j, -32152193+27299272j, 42579032+-7056418j, -10696858+-3851256j, 51891947+3203492j, -42677932+15926091j, -25297770+-15509763j, 11095486+11036443j, 21918400+-15414834j, 48619419+-24952251j, -19350608+-7141886j, -9558709+27895780j, -28791867+-26415991j, 963610+22718174j, -21726208+-7200052j, -5478568+-7728481j, 
-17838151+5331652j, 17323797+-19418816j, -13807632+-17005533j, 9874495+2497558j, 1429106+-28422833j, 12588169+7570114j, 4251052+-11297870j, 15794258+38741874j, 345540+-6145888j, 6411713+15957360j, -26271049+61654499j, -24944469+5754626j, -31879164+5710706j, 32018511+-19121604j, -4455034+-1800557j, 16224920+-31398998j, 
15602634+30098204j, 1535521+7161128j, -2709064+25912126j, -6733014+-18353683j, 11773830+22816759j, 9446932+-32158909j, 2739528+-14647351j, -273204+-33465621j, 22878531+8931065j, -22965937+2311286j, -9863272+33143170j, 11780415+-18403128j, 2353599+9492986j, 36264334+-41719044j, -1335185+-8087914j, -31626462+-23945119j, 
-6408867+7031844j, -6276803+517810j, -35229063+-3172516j, 47677713+11294948j, -36990652+-45526993j, 21517471+-2753619j, 1356596+-20395262j, -16370393+9137298j, 24503423+37936580j, 22014976+-12925988j, 18037546+-6707773j, 28484455+37067531j, -15634225+10853810j, 753851+7981364j, 23303893+-11915636j, -8207270+17840626j, 
3811665+1688005j, 25973715+43059694j, -12482391+-15144494j, -10778065+2094038j, 14020280+12635563j, -17440165+17879065j, 15837885+49937944j, 2879719+13940117j, -20563595+5280018j, -7344889+22933108j, 11608501+-13127567j, 24843537+-2481681j, 9661508+-7916064j, -30863917+52423918j, 16148337+14883787j, 29696290+33534674j, 
-5571800+1121793j, 4294966+12338286j, 23247786+2773177j, -14792956+18362342j, 9580385+-21426381j, 3022398+-12465491j, 11515183+5441823j, 6038621+-10973920j, 39767995+18515868j, 4021365+-724246j, 1153603+-10753921j, -8240591+16947836j, -2152522+3859004j, 11352478+43767575j, -10828811+-24115452j, -4931804+15118211j, 
17613767+-523109j, -20885604+46936990j, 12873042+452261j, -16400424+11060837j, 19986993+20270448j, -18375057+13839547j, -32311912+41474860j, -47969014+-14307946j, 1937947+36171006j, -49849061+369866j, -12720089+56017053j, 30443436+25336639j, -37510499+-7080980j, -43391103+17340244j, 53715941+704972j, -11090658+18736448j, 
33579185+21391530j, 20750086+-15155438j, 11492882+-14854833j, -7452272+2201062j, -4751363+11333510j, -6606022+-20855907j, 7057838+-11385953j, 3857413+-9223181j, 42675756+-26301485j, -11175591+-194758j, -26621888+-40401725j, 45298145+-29680680j, -4356903+-20845091j, 6380533+-2766271j, -14081526+-27638320j, 17958763+6947691j, 
34244469+-29618996j, 2038448+5353744j, 28719137+-9352127j, -22754758+38898459j, 2605674+8903338j, -61170190+27818986j, -18301496+8429622j, -951293+2057395j, -13317119+28637178j, -10245264+2662503j, 9683545+7323760j, -7888884+21114931j, 2652837+-35748082j, 25730781+23277892j, 16232982+26767294j, 12932140+30889441j, 
57834621+22726282j, 6947362+6640324j, 5967581+-20267673j, 14794657+-6723109j, 27884993+21890005j, -27159578+-25952002j, 17256224+-1106909j, -14877265+19312353j, 9001735+-77687837j, 28401864+12522227j, -2248382+15646343j, 39007782+-25549105j, -20735894+5193932j, -27687452+15712602j, -21572171+-26783084j, 15918711+5444082j, 
19727184+30001926j, -28161620+-32519811j, 48811671+25052147j, 1865878+-5590733j, 36114170+11539537j, -35817046+-52580820j, -1456872+-47659988j, -5376094+897753j, 38506913+-41584122j, 26018146+-27349377j, 27753471+22392684j, 8379868+-6035337j, 20706450+6928625j, -6688715+-60859968j, -64117527+-50490510j, -10488310+3035862j, 
-33242185+26969812j, 8197042+-13445547j, -877871+-12851454j, 15443656+15254733j, -18834845+-51742078j, 39104655+-35895836j, 1034077+-14981995j, -6975474+-11745522j, 19974913+-3869379j, -19561634+-20803702j, -13008929+6177832j, 35299376+26395290j, -12251322+29261486j, -6319039+20245122j, 11229363+-15679764j, 2601856+16690883j, 
38107473+3974499j, 32226468+8499713j, -32777509+-36871184j, 10478322+14948057j, 55849174+-17673685j, -14799621+11499230j, 12595717+12296816j, 26165065+24433382j, 13315173+-4551907j, 4777930+41429578j, 19192034+-14643547j, 38586872+-18118377j, -42802213+-24293023j, 11576866+64862525j, -12829362+-35211376j, 43852954+-11681959j, 
59192393+42582072j, -17334804+21291747j, -10409962+-6697595j, 1369750+-9048460j, 47695104+-1067992j, -25170778+-20378257j, -36945124+-11171908j, -35446480+-5904322j, -19723339+-1622990j, -36959919+-32776455j, -6580500+13958722j, 44800037+-10123626j, 19185279+-27726522j, -37576405+26793986j, -22927819+21504418j, -30446841+21260975j, 
7777992+-34030183j, -30819767+-23929515j, 6493056+7273962j, 9549278+11557160j, 20711876+-41583564j, -16188265+-14207410j, -19427225+-9053947j, -6890214+5363134j, -14354412+-19090328j, -32975113+1023036j, 21112947+-12316573j, -34809169+-5775277j, -14039102+-40438056j, -5672919+-7631191j, -33448411+51376296j, 22608287+27202346j, 
40470883+33908893j, 9559925+9722953j, -21609731+-26663561j, 1443342+4704067j, -15233024+11432168j, -24745390+-25608968j, 426393+-5862403j, -8449609+-12438599j, 50767378+17316789j, 29428697+37444295j, -28669007+-23113489j, 48575914+4009801j, -3904243+-20396948j, 8322045+-10891414j, -6182709+-32136707j, -12913325+-5173488j, 
-18337838+-17099421j, 21646291+35329422j, 34877438+-31550421j, -9175373+-17307172j, 2038256+-14187173j, -7093775+17965312j, 10018655+-23850048j, 19227556+34793923j, 2465334+2822104j, 19212060+-29380931j, 193884+-27314087j, -255983+3444874j, 22021089+13229988j, 16080962+13406671j, -1815988+-3777044j, 2830458+-1697587j, 
-12255067+-30854932j, 12205245+11292610j, 20095364+17234005j, -7398004+-5694870j, -2330666+38368778j, 13773800+50190934j, -20404041+14691429j, 11884228+-17674729j, 7884585+-9306132j, 210615+-35768232j, -4005325+9715588j, -23161268+-9746278j, -15759062+6947538j, -52160254+-35207839j, 38621554+14595596j, -874644+14520380j, 
32459161+-17173488j, -6988123+-46384229j, 2184807+9544083j, -812122+31041232j, 19439477+7646391j, -27835494+21923749j, -5357312+-9295197j, -21814139+-18900875j, -43210194+3214707j, 3992874+16305817j, -10709426+19204701j, -21126640+5376964j, -18349479+-19374730j, 12901646+-29818560j, 17255150+29709733j, 8579960+-17565784j, 
190879+-33770814j, 4368313+-32010250j, -24240567+18691388j, -9664169+399289j, -21694292+-23035908j, 13145885+-10417188j, 22079348+-802783j, 26215353+-12518761j, 1947419+-7420667j, 18601860+24627443j, 45049746+-2464310j, -30605607+-38079259j, -3795685+41249478j, -17340540+6268495j, -13453063+-19832183j, -4216814+-13609752j, 
7283516+12767727j, 18247740+50519513j, 39246258+-23169138j, 6129860+-14328911j, -18937079+-16081556j, -8186453+12779023j, 13039588+-2838925j, 53405+64601565j, 39164230+301475j, 18561854+28235342j, 19402705+19744234j, 10178294+-8559229j, 2106601+25022923j, 10070944+19154696j, 6141644+-23479641j, -537140+-10549380j, 
-16956140+-3491074j, 6752978+24920667j, -30679567+-9352264j, 23449453+-36799899j, -54720164+-15994566j, 9349872+4965452j, 24038706+10780691j, 22087435+16817148j, -11698741+10416763j, 15358287+11342938j, -10706983+-4199452j, -5552084+-16822208j, -10995595+32426875j, 9051672+-4112773j, 30993877+4293206j, 24115239+-17294878j, 
24560264+31679314j, 26255875+6038671j, -31539270+-20795972j, -675895+-587946j, 21070396+7974387j, -11858084+13398315j, -2372922+18555042j, 7525206+24591664j, -61041913+-11566355j, -23602831+40542026j, 46697571+40633317j, -10967037+-9956406j, -6768695+-4291487j, -23887099+33403517j, 20424648+15210139j, 13670422+-19229782j, 
-25335621+44453347j, -11701212+4957604j, 25884158+18672385j, 8596165+-4957891j, -18031637+35485344j, 14820632+-20466759j, -13354481+-10616732j, -12882583+2523481j, -10612029+-38453103j, -19330951+-4607989j, 4883314+-5209510j, -41343564+9406929j, 33874310+11681949j, 19930249+38099274j, -18992948+27794880j, -16844988+-11604424j, 
